Title,Subject,List,Send_Date,Send_Weekday,Total_Recipients,Successful_Deliveries,Soft_Bounces,Hard_Bounces,Total_Bounces,Times_Forwarded,Forwarded_Opens,Unique_Opens,Open_Rate,Total_Opens,Unique_Clicks,Click_Rate,Total_Clicks,Unsubscribes,Abuse_Complaints
MyDomino Effect Newsletter 6-30-16 (external) | Combo 2,The secret to energy independence,Domino Blog & Lead,30-Jun-16,Thursday,45,45,0,0,0,0,0,13,28.89,20,3,6.67,4,0,0
MyDomino Effect Newsletter 6-30-16 (external),,Domino Blog & Lead,30-Jun-16,Thursday,361,359,0,2,2,0,0,91,25.35,162,15,4.18,0,0,0
MyDomino Effect Newsletter 6-30-16 (external) | Winner,Declare your energy independence,Domino Blog & Lead,30-Jun-16,Thursday,271,270,1,0,1,0,0,68,25.19,132,12,4.44,15,0,0
MyDomino Effect Newsletter 6-30-16 (external) | Combo 1,Declare your energy independence,Domino Blog & Lead,30-Jun-16,Thursday,45,44,1,0,1,0,0,10,22.73,10,0,0,0,0,0
Domino Effect Newsletter 6/16/16,5 ways to save energy and money this summer,Domino Blog & Lead,16-Jun-16,Thursday,363,361,2,0,2,0,0,99,27.42,173,18,4.99,25,5,0
Domino Effect Newsletter 5/26/16,Solar 101 -Everything you need to know to get clean energy from the sun,MyDomino Team,26-May-16,Thursday,15,15,0,0,0,0,0,13,86.67,26,3,20,3,0,0
Domino Effect Newsletter 5/26/16 external,Solar 101 -Everything you need to know to get clean energy from the sun,Domino Blog & Lead,26-May-16,Thursday,362,361,1,0,1,0,0,115,31.86,182,24,6.65,31,1,0
Domino Effect Newsletter 5/12/16,Clean energy is breaking records,Domino Blog & Lead,12-May-16,Thursday,360,360,0,0,0,0,0,106,29.44,179,12,3.33,17,0,0
Domino Effect Newsletter 4/28/16,what to expect when you're expecting solar,Domino Blog & Lead,28-Apr-16,Thursday,358,358,0,0,0,0,0,100,27.93,177,17,4.75,23,2,0
Domino Effect Newsletter 4/12/2016,ten tips to reduce food waste and save $1500 each year,Domino Blog & Lead,14-Apr-16,Thursday,358,357,0,1,1,0,0,115,32.21,174,21,5.88,27,0,0
Domino Effect Newsletter - LAST CHANCE PROMO - 3/31/2016 | Winner,it your last chance to get a free energy savings plan,Domino Blog & Lead,31-Mar-16,Thursday,172,172,0,0,0,0,0,60,34.88,84,9,5.23,9,0,0
Domino Effect Newsletter - LAST CHANCE PROMO - 3/31/2016,,Domino Blog & Lead,31-Mar-16,Thursday,344,344,0,0,0,0,0,101,29.36,142,15,4.36,0,0,0
Domino Effect Newsletter - LAST CHANCE PROMO - 3/31/2016 | Combo 2,it your last chance to get a free energy savings plan,Domino Blog & Lead,31-Mar-16,Thursday,86,86,0,0,0,0,0,23,26.74,34,5,5.81,5,0,0
Domino Effect Newsletter - LAST CHANCE PROMO - 3/31/2016 | Combo 1,it's your last chance to get a free energy savings plan,Domino Blog & Lead,31-Mar-16,Thursday,86,86,0,0,0,0,0,18,20.93,24,1,1.16,1,0,0
Domino Effect Newsletter 3/17/2016 | Combo 2,how much money can a smart thermostat save you each year?,Domino Blog & Lead,17-Mar-16,Thursday,84,84,0,0,0,0,0,28,33.33,62,5,5.95,5,0,0
Domino Effect Newsletter 3/17/2016,,Domino Blog & Lead,17-Mar-16,Thursday,339,339,0,0,0,0,0,92,27.14,168,15,4.42,0,0,0
Domino Effect Newsletter 3/17/2016 | Combo 1,how much money can a smart thermostat save you each year?,Domino Blog & Lead,17-Mar-16,Thursday,85,85,0,0,0,0,0,22,25.88,33,2,2.35,4,0,0
Domino Effect Newsletter 3/17/2016 | Winner,how much money can a smart thermostat save you each year?,Domino Blog & Lead,17-Mar-16,Thursday,170,170,0,0,0,0,0,42,24.71,73,8,4.71,11,0,0
Domino Effect Newsletter 3/2/2016,How One Family Switched to 100 Clean Energy,Domino Blog & Lead,3-Mar-16,Thursday,342,342,0,0,0,0,0,107,31.29,190,16,4.68,19,3,1
Domino Effect Newsletter 2/18/2016,ten reasons to love solar power,Domino Blog & Lead,18-Feb-16,Thursday,336,335,0,1,1,0,0,90,26.87,136,22,6.57,29,2,1
Domino Effect Newsletter 1/21/2016 | Combo 1,how to save 3000 gallons of water every year,Domino Blog & Lead,21-Jan-16,Thursday,40,40,0,0,0,0,0,14,35,21,6,15,8,0,0
Domino Effect Newsletter 1/21/2016 | Winner,how to save 3000 gallons of water every year,Domino Blog & Lead,21-Jan-16,Thursday,240,239,1,0,1,0,0,75,31.38,142,28,11.72,34,0,0
Domino Effect Newsletter 1/21/2016,,Domino Blog & Lead,21-Jan-16,Thursday,319,318,0,1,1,0,0,96,30.19,180,36,11.32,0,0,0
Domino Effect Newsletter 1/21/2016 | Combo 2,this family saved 200 gallons of water a day with one quick fix,Domino Blog & Lead,21-Jan-16,Thursday,39,39,0,0,0,0,0,7,17.95,17,2,5.13,2,0,0
Domino Effect Newsletter 1/7/2016,Here a New Year resolution you can keep ,MyDomino Team,7-Jan-16,Thursday,15,15,0,0,0,0,0,12,80,19,1,6.67,1,0,0
Domino Effect Newsletter 1/7/2016 | Winner,Here a New Year resolution you can keep,Domino Blog & Lead,7-Jan-16,Thursday,162,162,0,0,0,0,0,63,38.89,85,5,3.09,6,3,2
Domino Effect Newsletter 1/7/2016 | Combo 1,Here a New Year resolution you can keep,Domino Blog & Lead,7-Jan-16,Thursday,81,80,1,0,1,0,0,29,36.25,46,4,5,5,2,0
